"urdu","roman"
"مگر فلک کو عداوت اسی کی گہر سی تہی","magar falak ko adavat usi ke ghar se thi"
"جہاں فرازؔ نہ تہا سیل غم ادہر بہی گیا","jahan faraz na tha sailegham udhar bhi gaya"
"ہوئی ہی شام تو انکہوں میں بس گیا پہر تو","hui hai shaam to ankhon men bas gaya phir tu"
"کہاں گیا ہی مری شہر کی مسافر تو","kahan gaya hai mire shahr ke musafir tu"
"مری مثال کہ اک نخل خشک صحرا ہوں","miri misal ki ik nakhlekhushkesahra huun"
"ترا خیال کہ شاخ چمن کا طائر تو","tira khayal ki shakhechaman ka taair tu"
"میں جانتا ہوں کہ دنیا تجہی بدل دی گی","main janta huun ki duniya tujhe badal degi"
"میں مانتا ہوں کہ ایسا نہیں بظاہر تو","main manta huun ki aisa nahin bazahir tu"
"ہنسی خوشی سی بچہڑ جا اگر بچہڑنا ہی","hansikhushi se bichhad ja agar bichhadna hai"
"یہ ہر مقام پہ کیا سوچتا ہی اخر تو","ye har maqam pe kya sochta hai akhir tu"
"فضا اداس ہی رت مضمحل ہی میں چپ ہوں","faza udaas hai rut muzmahil hai main chup huun"
"جو ہو سکی تو چلا ا کسی کی خاطر تو","jo ho sake to chala aa kisi ki khatir tu"
"فرازؔ تو نی اسی مشکلوں میں ڈال دیا","faraz tu ne use mushkilon men daal diya"
"زمانہ صاحب زر اور صرف شاعر تو","zamana sahabezar aur sirf shaer tu"
"اس قدر مسلسل تہیں شدتیں جدائی کی","is qadar musalsal thiin shiddaten judai ki"
"اج پہلی بار اس سی میں نی بی وفائی کی","aaj pahli baar us se main ne bevafai ki"
"ورنہ اب تلک یوں تہا خواہشوں کی بارش میں","varna ab talak yuun tha khvahishon ki barish men"
"یا تو ٹوٹ کر رویا یا غزل سرائی کی","ya to tuut kar roya ya ghazalsarai ki"
"تج دیا تہا کل جن کو ہم نی تیری چاہت میں","taj diya tha kal jin ko ham ne teri chahat men"
"اج ان سی مجبورا تازہ اشنائی کی","aaj un se majburan taaza ashnai ki"
"ہو چلا تہا جب مجہ کو اختلاف اپنی سی","ho chala tha jab mujh ko ikhtilaf apne se"
"تو نی کس گہڑی ظالم میری ہم نوائی کی","tu ne kis ghadi zalim meri hamnavai ki"
"ترک کر چکی قاصد کوئی نامراداں کو","tark kar chuke qasid kuenamuradan ko"
"کون اب خبر لاوی شہر اشنائی کی","kaun ab khabar laave shahreashnai ki"
"طنز و طعنہ و تہمت سب ہنر ہیں ناصح کی","tanz o taana o tohmat sab hunar hain naseh ke"
"اپ سی کوئی پوچہی ہم نی کیا برائی کی","aap se koi puchhe ham ne kya burai ki"
"پہر قفس میں شور اٹہا قیدیوں کا اور صیاد","phir qafas men shor uttha qaidiyon ka aur sayyad"
"دیکہنا اڑا دی گا پہر خبر رہائی کی","dekhna uda dega phir khabar rihai ki"
"دکہ ہوا جب اس در پر کل فرازؔ کو دیکہا","dukh hua jab us dar par kal faraz ko dekha"
"لاکہ عیب تہی اس میں خو نہ تہی گدائی کی","laakh aib the us men khu na thi gadai ki"
"اس سی پہلی کہ بی وفا ہو جائیں","is se pahle ki bevafa ho jaaen"
"کیوں نہ ای دوست ہم جدا ہو جائیں","kyuun na ai dost ham juda ho jaaen"
"تو بہی ہیری سی بن گیا پتہر","tu bhi hiire se ban gaya patthar"
"ہم بہی کل جانی کیا سی کیا ہو جائیں","ham bhi kal jaane kya se kya ho jaaen"
"تو کہ یکتا تہا بی شمار ہوا","tu ki yakta tha beshumar hua"
"ہم بہی ٹوٹیں تو جا بجا ہو جائیں","ham bhi tuten to jabaja ho jaaen"
"ہم بہی مجبوریوں کا عذر کریں","ham bhi majburiyon ka uzr karen"
"پہر کہیں اور مبتلا ہو جائیں","phir kahin aur mubtala ho jaaen"
"ہم اگر منزلیں نہ بن پائی","ham agar manzilen na ban paae"
"منزلوں تک کا راستا ہو جائیں","manzilon tak ka rasta ho jaaen"
"دیر سی سوچ میں ہیں پروانی","der se soch men hain parvane"
"راکہ ہو جائیں یا ہوا ہو جائیں","raakh ho jaaen ya hava ho jaaen"
"عشق بہی کہیل ہی نصیبوں کا","ishq bhi khel hai nasibon ka"
"خاک ہو جائیں کیمیا ہو جائیں","khaak ho jaaen kimiya ho jaaen"
"اب کی گر تو ملی تو ہم تجہ سی","ab ke gar tu mile to ham tujh se"
"ایسی لپٹیں تری قبا ہو جائیں","aise lipten tiri qaba ho jaaen"
"بندگی ہم نی چہوڑ دی ہی فرازؔ","bandagi ham ne chhod di hai faraz"
"کیا کریں لوگ جب خدا ہو جائیں","kya karen log jab khuda ho jaaen"
"جب بہی دل کہول کی روئی ہوں گی","jab bhi dil khol ke roe honge"
"لوگ ارام سی سوئی ہوں گی","log aram se soe honge"
"بعض اوقات بہ مجبوری دل","baaz auqat bamajburiedil"
"ہم تو کیا اپ بہی روئی ہوں گی","ham to kya aap bhi roe honge"
"صبح تک دست صبا نی کیا کیا","subh tak dastesaba ne kya kya"
"پہول کانٹوں میں پروئی ہوں گی","phuul kanton men piroe honge"
"وہ سفینی جنہیں طوفاں نہ ملی","vo safine jinhen tufan na mile"
"ناخداؤں نی ڈبوئی ہوں گی","nakhudaon ne duboe honge"
"رات بہر ہنستی ہوئی تاروں نی","raat bhar hanste hue taron ne"
"ان کی عارض بہی بہگوئی ہوں گی","un ke aariz bhi bhigoe honge"
"کیا عجب ہی وہ ملی بہی ہوں فرازؔ","kya ajab hai vo mile bhi hon faraz"
"ہم کسی دہیان میں کہوئی ہوں گی","ham kisi dhyan men khoe honge"
"جس سمت بہی دیکہوں نظر اتا ہی کہ تم ہو","jis samt bhi dekhun nazar aata hai ki tum ho"
"ای جان جہاں یہ کوئی تم سا ہی کہ تم ہو","ai janejahan ye koi tum sa hai ki tum ho"
"یہ خواب ہی خوشبو ہی کہ جہونکا ہی کہ پل ہی","ye khvab hai khushbu hai ki jhonka hai ki pal hai"
"یہ دہند ہی بادل ہی کہ سایا ہی کہ تم ہو","ye dhund hai badal hai ki saaya hai ki tum ho"
"اس دید کی ساعت میں کئی رنگ ہیں لرزاں","is diid ki saaat men kai rang hain larzan"
"میں ہوں کہ کوئی اور ہی دنیا ہی کہ تم ہو","main huun ki koi aur hai duniya hai ki tum ho"
"دیکہو یہ کسی اور کی انکہیں ہیں کہ میری","dekho ye kisi aur ki ankhen hain ki meri"
"دیکہوں یہ کسی اور کا چہرہ ہی کہ تم ہو","dekhun ye kisi aur ka chehra hai ki tum ho"
"یہ عمر گریزاں کہیں ٹہہری تو یہ جانوں","ye umregurezan kahin thahre to ye janun"
"ہر سانس میں مجہ کو یہی لگتا ہی کہ تم ہو","har saans men mujh ko yahi lagta hai ki tum ho"
"ہر بزم میں موضوع سخن دل زدگاں کا","har bazm men mauzuesukhan dilzadagan ka"
"اب کون ہی شیریں ہی کہ لیلی ہی کہ تم ہو","ab kaun hai shirin hai ki laila hai ki tum ho"
"اک درد کا پہیلا ہوا صحرا ہی کہ میں ہوں","ik dard ka phaila hua sahra hai ki main huun"
"اک موج میں ایا ہوا دریا ہی کہ تم ہو","ik mauj men aaya hua dariya hai ki tum ho"
"وہ وقت نہ ائی کہ دل زار بہی سوچی","vo vaqt na aae ki dilezar bhi soche"
"اس شہر میں تنہا کوئی ہم سا ہی کہ تم ہو","is shahr men tanha koi ham sa hai ki tum ho"
"اباد ہم اشفتہ سروں سی نہیں مقتل","abad ham ashuftasaron se nahin maqtal"
"یہ رسم ابہی شہر میں زندہ ہی کہ تم ہو","ye rasm abhi shahr men zinda hai ki tum ho"
"ای جان فرازؔ اتنی بہی توفیق کسی تہی","ai janefaraz itni bhi taufiq kise thi"
"ہم کو غم ہستی بہی گوارا ہی کہ تم ہو","ham ko ghamehasti bhi gavara hai ki tum ho"
"جو غیر تہی وہ اسی بات پر ہماری ہوئی","jo ghair the vo isi baat par hamare hue"
"کہ ہم سی دوست بہت بی خبر ہماری ہوئی","ki ham se dost bahut bekhabar hamare hue"
"کسی خبر وہ محبت تہی یا رقابت تہی","kise khabar vo mohabbat thi ya raqabat thi"
"بہت سی لوگ تجہی دیکہ کر ہماری ہوئی","bahut se log tujhe dekh kar hamare hue"
"اب اک ہجوم شکستہ دلاں ہی ساتہ اپنی","ab ik hujumeshikastadilan hai saath apne"
"جنہیں کوئی نہ ملا ہم سفر ہماری ہوئی","jinhen koi na mila hamsafar hamare hue"
"کسی نی غم تو کسی نی مزاج غم بخشا","kisi ne gham to kisi ne mizajegham bakhsha"
"سب اپنی اپنی جگہ چارہ گر ہماری ہوئی","sab apni apni jagah charagar hamare hue"
"بجہا کی طاق کی شمعیں نہ دیکہ تاروں کو","bujha ke taaq ki shamen na dekh taron ko"
"اسی جنوں میں تو برباد گہر ہماری ہوئی","isi junun men to barbad ghar hamare hue"
"وہ اعتماد کہاں سی فرازؔ لائیں گی","vo etimad kahan se faraz laenge"
"کسی کو چہوڑ کی وہ اب اگر ہماری ہوئی","kisi ko chhod ke vo ab agar hamare hue"
"جز تری کوئی بہی دن رات نہ جانی میری","juz tire koi bhi din raat na jaane mere"
"تو کہاں ہی مگر ای دوست پرانی میری","tu kahan hai magar ai dost purane mere"
"تو بہی خوشبو ہی مگر میرا تجسس بی کار","tu bhi khushbu hai magar mera tajassus bekar"
"برگ اوارہ کی مانند ٹہکانی میری","bargeavara ki manind thikane mere"
"شمع کی لو تہی کہ وہ تو تہا مگر ہجر کی رات","shama ki lau thi ki vo tu tha magar hijr ki raat"
"دیر تک روتا رہا کوئی سرہانی میری","der tak rota raha koi sirhane mere"
"خلق کی بی خبری ہی کہ مری رسوائی","khalq ki bekhabari hai ki miri rusvai"
"لوگ مجہ کو ہی سناتی ہیں فسانی میری","log mujh ko hi sunate hain fasane mere"
"لٹ کی بہی خوش ہوں کہ اشکوں سی بہرا ہی دامن","lut ke bhi khush huun ki ashkon se bhara hai daman"
"دیکہ غارت گر دل یہ بہی خزانی میری","dekh gharatgaredil ye bhi khazane mere"
"اج اک اور برس بیت گیا اس کی بغیر","aaj ik aur baras biit gaya us ke baghair"
"جس کی ہوتی ہوئی ہوتی تہی زمانی میری","jis ke hote hue hote the zamane mere"
"کاش تو بہی میری اواز کہیں سنتا ہو","kaash tu bhi meri avaz kahin sunta ho"
"پہر پکارا ہی تجہی دل کی صدا نی میری","phir pukara hai tujhe dil ki sada ne mere"
"کاش تو بہی کبہی ا جائی مسیحائی کو","kaash tu bhi kabhi aa jaae masihai ko"
"لوگ اتی ہیں بہت دل کو دکہانی میری","log aate hain bahut dil ko dukhane mere"
"کاش اوروں کی طرح میں بہی کبہی کہہ سکتا","kaash auron ki tarah main bhi kabhi kah sakta"
"بات سن لی ہی مری اج خدا نی میری","baat sun li hai miri aaj khuda ne mere"
"تو ہی کس حال میں ای زود فراموش مری","tu hai kis haal men ai zudfaramosh mire"
"مجہ کو تو چہین لیا عہد وفا نی میری","mujh ko to chhin liya ahdevafa ne mere"
"چارہ گر یوں تو بہت ہیں مگر ای جان فرازؔ","charagar yuun to bahut hain magar ai janefaraz"
"جز تری اور کوئی زخم نہ جانی میری","juz tire aur koi zakhm na jaane mere"
"کروں نہ یاد مگر کس طرح بہلاؤں اسی","karun na yaad magar kis tarah bhulaun use"
"غزل بہانہ کروں اور گنگناؤں اسی","ghazal bahana karun aur gungunaun use"
"وہ خار خار ہی شاخ گلاب کی مانند","vo khaar khaar hai shakhegulab ki manind"
"میں زخم زخم ہوں پہر بہی گلی لگاؤں اسی","main zakhm zakhm huun phir bhi gale lagaun use"
"یہ لوگ تذکری کرتی ہیں اپنی لوگوں کی","ye log tazkire karte hain apne logon ke"
"میں کیسی بات کروں اب کہاں سی لاؤں اسی","main kaise baat karun ab kahan se laun use"
"مگر وہ زود فراموش زود رنج بہی ہی","magar vo zudfaramosh zudranj bhi hai"
"کہ روٹہ جائی اگر یاد کچہ دلاؤں اسی","ki ruuth jaae agar yaad kuchh dilaun use"
"وہی جو دولت دل ہی وہی جو راحت جاں","vahi jo daulatedil hai vahi jo rahatejan"
"تمہاری بات پہ ای ناصحو گنواؤں اسی","tumhari baat pe ai naseho ganvaun use"
"جو ہم سفر سر منزل بچہڑ رہا ہی فرازؔ","jo hamsafar saremanzil bichhad raha hai faraz"
"عجب نہیں ہی اگر یاد بہی نہ اؤں اسی","ajab nahin hai agar yaad bhi na aauun use"
"کٹہن ہی راہ گزر تہوڑی دور ساتہ چلو","kathin hai rahguzar thodi duur saath chalo"
"بہت کڑا ہی سفر تہوڑی دور ساتہ چلو","bahut kada hai safar thodi duur saath chalo"
"تمام عمر کہاں کوئی ساتہ دیتا ہی","tamam umr kahan koi saath deta hai"
"یہ جانتا ہوں مگر تہوڑی دور ساتہ چلو","ye janta huun magar thodi duur saath chalo"
"نشی میں چور ہوں میں بہی تمہیں بہی ہوش نہیں","nashe men chuur huun main bhi tumhen bhi hosh nahin"
"بڑا مزہ ہو اگر تہوڑی دور ساتہ چلو","bada maza ho agar thodi duur saath chalo"
"یہ ایک شب کی ملاقات بہی غنیمت ہی","ye ek shab ki mulaqat bhi ghanimat hai"
"کسی ہی کل کی خبر تہوڑی دور ساتہ چلو","kise hai kal ki khabar thodi duur saath chalo"
"ابہی تو جاگ رہی ہیں چراغ راہوں کی","abhi to jaag rahe hain charagh rahon ke"
"ابہی ہی دور سحر تہوڑی دور ساتہ چلو","abhi hai duur sahar thodi duur saath chalo"
"طواف منزل جاناں ہمیں بہی کرنا ہی","tavafemanzilejanan hamen bhi karna hai"
"فرازؔ تم بہی اگر تہوڑی دور ساتہ چلو","faraz tum bhi agar thodi duur saath chalo"
"خاموش ہو کیوں داد جفا کیوں نہیں دیتی","khamosh ho kyuun dadejafa kyuun nahin dete"
"بسمل ہو تو قاتل کو دعا کیوں نہیں دیتی","bismil ho to qatil ko dua kyuun nahin dete"
"وحشت کا سبب روزن زنداں تو نہیں ہی","vahshat ka sabab rauzanezindan to nahin hai"
"مہر و مہ و انجم کو بجہا کیوں نہیں دیتی","mehr o mah o anjum ko bujha kyuun nahin dete"
"اک یہ بہی تو انداز علاج غم جاں ہی","ik ye bhi to andazeilajeghamejan hai"
"ای چارہ گرو درد بڑہا کیوں نہیں دیتی","ai charagaro dard badha kyuun nahin dete"
"منصف ہو اگر تم تو کب انصاف کرو گی","munsif ho agar tum to kab insaf karoge"
"مجرم ہیں اگر ہم تو سزا کیوں نہیں دیتی","mujrim hain agar ham to saza kyuun nahin dete"
"رہزن ہو تو حاضر ہی متاع دل و جاں بہی","rahzan ho to hazir hai mataedilojan bhi"
"رہبر ہو تو منزل کا پتہ کیوں نہیں دیتی","rahbar ho to manzil ka pata kyuun nahin dete"
"کیا بیت گئی اب کی فرازؔ اہل چمن پر؟","kya biit gai ab ke faraz ahlechaman par"
"یاران قفس مجہ کو صدا کیوں نہیں دیتی","yaraneqafas mujh ko sada kyuun nahin dete"
